ElasticityK,Strategy,Revenue_mean,Revenue_std,Profit_mean,Profit_std,UnitsSold_mean,UnitsSold_std,ROI_mean,ROI_std
6,markdown,529.65,138.02,198.62,51.76,66.21,17.25,0.38,0.0
6,none,444.33,123.56,222.16,61.78,44.43,12.36,0.5,0.0
6,promotion,454.01,122.79,201.78,54.57,50.45,13.64,0.44,0.0
8,markdown,731.34,233.77,274.25,87.66,91.42,29.22,0.38,0.0
8,none,618.61,175.41,309.31,87.7,61.86,17.54,0.5,0.0
8,promotion,724.87,222.46,322.16,98.87,80.54,24.72,0.44,0.0
10,markdown,828.86,221.88,310.82,83.2,103.61,27.73,0.38,0.0
10,none,871.26,240.54,435.63,120.27,87.13,24.05,0.5,0.0
10,promotion,896.79,235.1,398.57,104.49,99.64,26.12,0.44,0.0
12,markdown,952.56,284.16,357.21,106.56,119.07,35.52,0.38,0.0
12,none,1039.78,287.76,519.89,143.88,103.98,28.78,0.5,0.0
12,promotion,1025.98,273.86,455.99,121.71,114.0,30.43,0.44,0.0
14,markdown,1097.44,298.15,411.54,111.81,137.18,37.27,0.38,0.0
14,none,1151.24,300.8,575.62,150.4,115.12,30.08,0.5,0.0
14,promotion,1109.28,351.38,493.01,156.17,123.25,39.04,0.44,0.0
