Week,FirmID,Strategy,Price,UnitsSold,Revenue,TrendScore,Profit
1,0,markdown,8.0,19.536041918140075,156.2883353451206,0.43478260869565233,58.60812575442023
1,1,promotion,9.0,17.676941727852142,159.0924755506693,0.43478260869565233,70.70776691140857
1,2,none,10.0,15.994758311801846,159.94758311801846,0.43478260869565233,79.97379155900923
2,0,markdown,8.0,15.628833534512063,125.0306682760965,0.34782608695652195,46.88650060353619
2,1,markdown,8.0,15.628833534512063,125.0306682760965,0.34782608695652195,46.88650060353619
2,2,none,10.0,12.795806649441479,127.9580664944148,0.34782608695652195,63.9790332472074
3,0,promotion,9.0,7.0707766911408685,63.63699022026782,0.1739130434782612,28.283106764563474
3,1,markdown,8.0,7.814416767256043,62.515334138048345,0.1739130434782612,23.44325030176813
3,2,none,10.0,6.397903324720749,63.9790332472075,0.1739130434782612,31.98951662360375
4,0,markdown,8.0,7.814416767256043,62.515334138048345,0.1739130434782612,23.44325030176813
4,1,markdown,8.0,7.814416767256043,62.515334138048345,0.1739130434782612,23.44325030176813
4,2,markdown,8.0,7.814416767256043,62.515334138048345,0.1739130434782612,23.44325030176813
5,0,promotion,9.0,5.303082518355646,47.727742665200815,0.1304347826086958,21.212330073422585
5,1,markdown,8.0,5.860812575442027,46.88650060353621,0.1304347826086958,17.58243772632608
5,2,promotion,9.0,5.303082518355646,47.727742665200815,0.1304347826086958,21.212330073422585
6,0,promotion,9.0,8.838470863926071,79.54623777533465,0.21739130434782616,35.353883455704285
6,1,markdown,8.0,9.768020959070038,78.1441676725603,0.21739130434782616,29.304062877210114
6,2,promotion,9.0,8.838470863926071,79.54623777533465,0.21739130434782616,35.353883455704285
7,0,promotion,9.0,19.444635900637365,175.0017231057363,0.47826086956521774,77.77854360254946
7,1,none,10.0,17.59423414298204,175.94234142982037,0.47826086956521774,87.97117071491019
7,2,promotion,9.0,19.444635900637365,175.0017231057363,0.47826086956521774,77.77854360254946
8,0,markdown,8.0,11.721625150884053,93.77300120707243,0.2608695652173916,35.16487545265216
8,1,promotion,9.0,10.606165036711293,95.45548533040163,0.2608695652173916,42.42466014684517
8,2,promotion,9.0,10.606165036711293,95.45548533040163,0.2608695652173916,42.42466014684517
9,0,markdown,8.0,5.860812575442027,46.88650060353621,0.1304347826086958,17.58243772632608
9,1,none,10.0,4.798427493540557,47.98427493540557,0.1304347826086958,23.992137467702786
9,2,markdown,8.0,5.860812575442027,46.88650060353621,0.1304347826086958,17.58243772632608
10,0,markdown,8.0,11.721625150884053,93.77300120707243,0.2608695652173916,35.16487545265216
10,1,markdown,8.0,11.721625150884053,93.77300120707243,0.2608695652173916,35.16487545265216
10,2,markdown,8.0,11.721625150884053,93.77300120707243,0.2608695652173916,35.16487545265216
